CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE,ENFORCED
def,bazar_db,PRIMARY,bazar_db,products,"PRIMARY KEY",YES
def,bazar_db,products_ibfk_1,bazar_db,products,"FOREIGN KEY",YES
